ARCID;ATYP;ADEP;ADES;RM;ARF;ETD;TT;ETA;Flight Time;Adjusted Time;CAT;Seats;Airline;Coming From;TAS(kts);TAS(m/s);Distancia (km)
WJA8;B789;CYYC;LEBL;CGKKN;410;1:10:00;10;9:55:00;8:45:00;8:20:00;B;284;WJA;Non-ECAC;485.1;249.6;7488
VLG2QK;A321;LEBL;LEGR;ECNLY;350;9:51:00;11;11:00:00;1:09:00;0:43:00;D;207;VLG;ECAC;447.8;230.4;594.43
CYP323;BCS3;LEBL;LCLK;5BDEF;370;10:02:00;16;13:25:00;3:23:00;2:52:00;D;150;CYP;ECAC;460.3;236.8;2443.78
NMA7800;A320;HELX;LEBL;SUNMH;340;5:35:00;5;10:00:00;4:25:00;4:05:00;D;173;NMA;Non-ECAC;441.6;227.2;3339.84
RYR6362;B738;LEBL;LEPA;9HQFK;190;9:45:00;20;10:25:00;0:40:00;0:05:00;D;184;RYR;ECAC;348.4;179.2;53.76
RYR588Q;B738;LIPE;LEBL;EIENP;350;8:40:00;15;10:00:00;1:20:00;0:50:00;D;184;RYR;ECAC;447.8;230.4;691.2
SIA387;A359;LEBL;WSSS;9VSMK;410;9:58:00;20;22:45:00;12:47:00;12:12:00;B;297;SIA;ECAC;485.1;249.6;10962.43
AEA84SQ;B789;LEBL;LEMD;ECOFP;290;10:00:00;11;10:50:00;0:50:00;0:24:00;B;284;AEA;ECAC;410.5;211.2;304.13
VLG3WY;A320;LEBL;LIRF;ECMJB;340;10:06:00;11;11:25:00;1:19:00;0:53:00;D;173;VLG;ECAC;441.6;227.2;722.5
RYR6TA;B738;LEBL;LPFR;9HQEW;370;10:15:00;20;11:35:00;1:20:00;0:45:00;D;184;RYR;ECAC;460.3;236.8;639.36
AAL41;B788;LEBL;KORD;N803AL;380;10:02:00;13;18:10:00;8:08:00;7:40:00;B;266;AAL;ECAC;466.5;240;6624
DAL195;A359;LEBL;KATL;N572DZ;380;9:51:00;16;18:45:00;8:54:00;8:23:00;B;297;DAL;ECAC;466.5;240;7243.2
EJU96WZ;A319;EGKK;LEBL;OELQU;350;8:39:00;13;10:10:00;1:31:00;1:03:00;D;144;EJU;ECAC;447.8;230.4;870.91
VLG1306;A320;LEBL;LEAL;ECOGE;270;10:03:00;13;11:00:00;0:57:00;0:29:00;D;173;VLG;ECAC;398.1;204.8;356.35
AHY046;A319;LEBL;UBBB;4KAZ03;390;10:06:00;16;15:05:00;4:59:00;4:28:00;D;144;AHY;ECAC;472.7;243.2;3910.66
VLG6JG;A320;LEZL;LEBL;ECMYB;340;9:09:00;10;10:15:00;1:06:00;0:41:00;D;173;VLG;ECAC;441.6;227.2;558.91
VLG69GB;A320;LEBL;GCXO;ECLVU;370;10:14:00;9;13:10:00;2:56:00;2:32:00;D;173;VLG;ECAC;460.3;236.8;2159.62
AAO14;E50P;LEGE;LEBL;OKVAN;100;9:59:00;9;10:15:00;0:16:00;0:15:00;F;5;AAO;ECAC;292.4;150.4;135.36
LOT437;B738;EPWA;LEBL;SPLWD;380;7:35:00;15;10:15:00;2:40:00;2:10:00;D;184;LOT;ECAC;466.5;240;1872
JFA99X;PC24;LSZA;LEBL;LXZAP;310;9:05:00;5;10:15:00;1:10:00;0:50:00;F;8;JFA;ECAC;423;217.6;652.8
VLG4AT;A320;LEBL;LEPA;ECNUP;170;10:06:00;11;10:45:00;0:39:00;0:13:00;D;173;VLG;ECAC;335.9;172.8;134.78
